"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","nation","men","upon","govern","year","war","unit","one","law","govern","shall","peopl","new","world","will"
"2","peac","life","parti","public","now","never","great","countri","citizen","power","duti","liberti","american","freedom","can"
"3","justic","thing","congress","revenu","time","great","countri","great","right","state","offic","spirit","america","peac","must"
"4","polici","man","question","busi","day","forc","state","everi","equal","constitut","may","free","let","can","good"
"5","foreign","hand","principl","secur","first","without","increas","exist","person","union","support","happi","work","nation","make"
"6","interest","see","execut","may","histori","made","product","danger","protect","right","servic","less","togeth","human","peopl"
"7","among","look","may","demand","presid","time","may","institut","subject","unit","countri","found","generat","know","believ"
"8","everi","earth","effect","economi","god","alway","commerc","caus","administr","author","confid","republ","old","free","need"
"9","relat","heart","opinion","requir","come","purpos","territori","individu","shall","feder","trust","true","must","seek","everi"
"10","just","find","differ","tax","today","maintain","extend","experi","enforc","general","purpos","bless","better","long","effort"
"11","friend","call","legisl","meet","centuri","sinc","import","patriot","race","object","best","prosper","make","help","done"
"12","respect","way","act","enterpris","stand","defens","mani","feel","upon","preserv","fellowcitizen","civil","respons","strength","task"
"13","ever","live","measur","system","past","necessari","trade","much","order","form","high","full","promis","hope","now"
"14","cours","hope","control","interest","still","reason","improv","anoth","rule","system","honor","sens","opportun","strong","lead"
"15","determin","million","made","econom","ask","arm","encourag","success","without","exercis","faith","noth","live","democraci","problem"
"16","intern","mean","elect","larg","just","use","within","influenc","secur","limit","oblig","remain","children","progress","futur"
"17","promot","voic","action","upon","fellow","place","progress","section","reform","whole","respons","preserv","land","share","realiz"
"18","desir","rememb","view","expenditur","moment","might","industri","mani","condit","respect","public","love","bring","secur","constant"
"19","independ","light","polit","money","oath","provid","depend","common","communiti","observ","call","yet","ideal","toward","common"
"20","honor","wealth","certain","necessari","last","suffici","home","present","good","within","execut","faith","build","mankind","sacrific"
